Club ID,Club (country)
1,Mexico
2,Australia
3,England
4,Spain
5,Turkey
6,Spain
7,Italy
8,England
9,England
10,Germany
11,Italy
12,Mexico
13,Portugal
14,Italy
15,Germany
16,England
17,Brazil
18,Switzerland
19,Netherlands
20,England
21,Sweden
22,United Arab Emirates
23,Croatia
24,USA
25,USA
26,Ukraine
27,England
28,Honduras
29,Japan
30,Spain
31,Spain
32,USA
33,Russia
34,Germany
35,Argentina
36,Italy
37,Turkey
38,England
39,Portugal
40,England
41,Germany
42,Germany
43,Switzerland
44,Mexico
45,Germany
46,Germany
47,USA
48,England
49,Turkey
50,France
51,Ukraine
52,Spain
53,Mexico
54,England
55,Russia
56,Belgium
57,Spain
58,France
59,Turkey
60,Brazil
61,England
62,China
63,England
64,United Arab Emirates
65,Russia
66,Mexico
67,Spain
68,Italy
69,Germany
70,England
71,Chile
72,Russia
73,Germany
74,South Korea
75,Argentina
76,Greece
77,Italy
78,Kuwait
79,Italy
80,Russia
81,Germany
82,France
83,Netherlands
84,Japan
85,Netherlands
86,Italy
87,Russia
88,Germany
89,Iran
90,Costa Rica
91,Sweden
92,Spain
93,Costa Rica
94,Mexico
95,England
96,Italy
97,Netherlands
98,France
99,Russia
100,Netherlands
101,Qatar
102,Mexico
103,Greece
104,England
105,Italy
106,France
107,Portugal
108,Switzerland
109,Columbia
110,Italy
111,Norway
112,England
113,Germany
114,Argentina
115,France
116,Italy
117,Mexico
118,Saudi Arabia
119,Canada
120,Turkey
121,Spain
122,Tunisia
123,Germany
124,Germany
125,Belgium
126,USA
127,Germany
128,Netherlands
129,Mexico
130,Brazil
131,France
132,France
133,Russia
134,Brazil
135,England
136,South Korea
137,England
138,Iran
139,Japan
140,Honduras
141,Norway
142,Scotland
143,Brazil
144,Mexico
145,France
146,Iran
147,France
148,Spain
149,Brazil
150,Australia
151,USA
152,England
153,England
154,Germany
155,England
156,Turkey
157,Switzerland
158,Honduras
159,Japan
160,Japan
161,France
162,Norway
163,Germany
164,England
165,Iran
166,Brazil
167,England
168,Netherlands
169,Qatar
170,Italy
171,USA
172,Netherlands
173,Belgium
174,Turkey
175,Costa Rica
176,Chile
177,Italy
178,France
179,Qatar
180,China
181,Turkey
182,Costa Rica
183,Japan
184,Germany
185,England
186,England
187,Honduras
188,France
189,France
190,Denmark
191,Portugal
192,Ecuador
193,Iran
194,Nigeria
195,Turkey
196,Italy
197,USA
198,Brazil
199,Germany
200,USA
201,Australia
202,Greece
203,Turkey
204,England
205,Columbia
206,Russia
207,France
208,Belgium
209,Bosnia & Herzegovina
210,Australia
211,Spain
212,Italy
213,Argentina
214,Greece
215,Mexico
216,Portugal
217,Brazil
218,Belgium
219,Switzerland
220,Italy
221,Mexico
222,Israel
223,France
224,England
225,Iran
226,Russia
227,France
228,Spain
229,Ecuador
230,South Korea
231,China
232,Nigeria
233,Algeria
234,South Korea
235,Algeria
236,China
237,South Africa
238,Italy
239,Spain
240,Bulgaria
241,Japan
242,Spain
243,Croatia
244,Japan
245,Spain
246,Japan
247,Ecuador
248,Canada
249,Tunisia
250,Portugal
251,Norway
252,Spain
253,Chile
254,Italy
255,USA
256,Ukraine
257,Russia
258,Ivory Coast
259,Australia
260,Ecuador
261,Netherlands
262,Belgium
263,France
264,Austria
265,China
266,Columbia
267,Switzerland
268,Turkey
269,China
270,Austria
271,Turkey
272,Ghana
273,Turkey
274,Uruguay
275,Nigeria
276,Germany
277,Belgium
278,Israel
279,England
280,France
281,Russia
282,Netherlands
283,Iran
284,Cameroon
285,Norway
286,Hungary
287,England
288,Spain
289,Ukraine
290,France
291,South Africa
292,Paraguay
293,Germany
294,South Korea
295,Croatia
296,England
297,Croatia
